age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
18-49,no_change,3 wk ahead inc case,06/19/2021,Illinois,1081,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Illinois,1233,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Illinois,1402,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Illinois,669,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Illinois,834,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Illinois,1052,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Illinois,415,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Illinois,578,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Illinois,830,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Illinois,263,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Illinois,417,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Illinois,674,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Indiana,1444,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Indiana,1626,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Indiana,1831,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Indiana,1136,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Indiana,1245,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Indiana,1365,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Indiana,827,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Indiana,949,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Indiana,1089,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Indiana,582,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Indiana,732,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Indiana,937,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Indiana,414,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Indiana,581,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Indiana,828,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Indiana,296,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Indiana,469,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Indiana,741,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kansas,253,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kansas,318,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kansas,393,quantile,0.975,05/30/2021
